# id X_IMAGE Y_IMAGE X_WORLD Y_WORLD FLUX_AUTO_160 FLUXERR_AUTO_160 FLUX_RADIUS_1 FLUX_RADIUS_2 EA_ERR_105 EA_ERR_125 EA_ERR_140 EA_ERR_160 EA_ERR_435 EA_ERR_606 EA_ERR_814 EA_ERR_K FLUXERR_APER_606 FLUXERR_APER_125 FLUXERR_APER_140 FLUXERR_APER_814 FLUXERR_APER_K FLUXERR_APER_435 FLUXERR_APER_160 FLUXERR_APER_105 FLUX_APER_606 FLUX_APER_125 FLUX_APER_140 FLUX_APER_814 FLUX_APER_K FLUX_APER_435 FLUX_APER_160 FLUX_APER_105
60 2997.29 3727.0 3.57704168776 -30.3771414597 0.0530108 0.00436945 5.58429 7.30702 0.00322 0.00374 0.00207 0.00421 0.00323 0.00322 0.00264 0.01713 0.00235 0.0018 0.00175 0.00181 0.00582 0.00212 0.0017 0.0014 -0.00067 0.00217 0.01282 0.00618 -0.02487 -0.00042 0.00878 0.00582
61 3290.21 3730.85 3.5713828256 -30.3770770324 1.0185 0.0186941 18.9572 24.6073 0.00644 0.00722 0.00413 0.00692 0.00334 0.00332 0.00266 0.01724 0.0024 0.00375 0.00315 0.00187 0.00584 0.00217 0.00295 0.00243 0.00148 0.02662 0.04391 0.01451 0.03959 0.00191 0.03657 0.02217
62 2988.97 3726.82 3.57720242267 -30.3771444666 0.0732536 0.00647723 7.64613 9.95189 0.00351 0.0034 0.00225 0.00449 0.00324 0.00317 0.00264 0.01715 0.00233 0.00181 0.00179 0.00181 0.00582 0.0021 0.00174 0.00142 0.0005 0.01581 0.01614 0.00996 -0.02579 0.00598 0.02097 0.00846
63 2717.18 3724.01 3.58245302344 -30.3771913971 0.218639 0.0107512 5.09802 11.3567 0.0048 0.00578 0.00308 0.00566 0.00317 0.00322 0.00257 0.01668 0.00234 0.00267 0.00258 0.00179 0.00581 0.00212 0.00248 0.00206 -0.00037 0.05699 0.07681 0.02184 0.41327 0.00563 0.11255 0.04267
64 2728.32 3726.96 3.58223776647 -30.377142192 0.477961 0.0103284 12.8017 16.7543 0.00505 0.00511 0.00325 0.00588 0.00324 0.00329 0.00263 0.01707 0.00234 0.00274 0.00263 0.0018 0.00582 0.00211 0.00245 0.00204 0.00253 0.01128 0.01798 0.00569 0.03405 -0.00288 0.01427 0.01175
65 2998.63 3719.96 3.57701570676 -30.377258748 0.123948 0.00780081 9.09191 12.6219 0.0036 0.00318 0.00231 0.0042 0.00325 0.00328 0.00265 0.0172 0.00238 0.00184 0.00173 0.00183 0.00582 0.00216 0.00168 0.00139 0.00324 0.01776 0.01863 0.01474 -0.05742 0.00991 0.02187 0.01264
66 2998.68 3714.99 3.57701483175 -30.3773416335 0.0324134 0.0033748 4.27107 5.84933 0.00323 0.00365 0.00208 0.00425 0.0034 0.00329 0.00277 0.01797 0.00237 0.00185 0.00174 0.00183 0.00582 0.00214 0.00169 0.0014 0.00986 0.00422 0.00743 0.02065 -0.03513 0.00331 0.01348 0.00605
67 2615.61 3720.95 3.58441521226 -30.3772423355 0.0870563 0.00443731 2.47628 5.97649 0.00512 0.00461 0.00329 0.00573 0.00329 0.00324 0.00258 0.01676 0.00234 0.0027 0.00255 0.0018 0.00581 0.00212 0.00243 0.00204 0.05697 0.07231 0.07523 0.07646 0.22166 0.01452 0.09141 0.06947
68 2889.68 3720.26 3.57912058146 -30.3772537749 0.0841463 0.00650167 8.77479 3.84842 0.00424 0.00381 0.00272 0.00497 0.0034 0.00338 0.00264 0.01712 0.00236 0.00206 0.00214 0.00181 0.00583 0.00213 0.00206 0.00168 0.0071 0.03121 0.02862 0.02773 0.09967 0.00286 0.03144 0.02845
69 2895.23 3714.78 3.57901323239 -30.3773452519 0.0582903 0.00438121 7.34277 -0.732763 0.00333 0.00364 0.00214 0.00421 0.00337 0.00335 0.00261 0.01691 0.00234 0.00181 0.00179 0.0018 0.00582 0.00212 0.00176 0.00144 0.00391 0.01709 0.02425 0.0134 0.01572 0.00376 0.02313 0.0244
